country,cost_usd,duration_hours,users_affected,year
Pakistan,1620000000,9423,82900000,2024
Myanmar,1580000000,20376,23700000,2024
Sudan,1120000000,2674,23400000,2024
Venezuela,1120000000,3480,17900000,2024
Bangladesh,796600000,144,77300000,2024
India,322900000,2224,67700000,2024
Iraq,229400000,122,36200000,2024
Ethiopia,211200000,4680,3300000,2024
Turkey,137000000,306,74400000,2024
Azerbaijan,81400000,8784,100000,2024
Iran,78600000,113,73100000,2024
Kenya,75000000,511,22700000,2024
Algeria,61100000,30,33500000,2024
Guinea,60900000,1272,4900000,2024
Yemen,45100000,2880,8800000,2024
Mauritania,45100000,541,2200000,2024
Kyrgyzstan,31900000,6192,5200000,2024
Russia,16600000,84,24200000,2024
Senegal,15400000,619,8000000,2024
Mozambique,14600000,366,8000000,2024
Syria,11400000,41,8500000,2024
Chad,3800000,69,1800000,2024
Mauritius,2100000,48,1000000,2024
Tanzania,1400000,1116,14000000,2024
Papua New Guinea,800000,7,3300000,2024
Equatorial Guinea,500000,3960,30000,2024
New Caledonia,200000,336,200000,2024
Comoros,200000,53,700000,2024
