country,cost_usd,duration_hours,users_affected,year
Iraq,2300000000,1187,18800000,2019
Sudan,1900000000,1560,12500000,2019
India,1300000000,4196,8400000,2019
Venezuela,1100000000,171,20700000,2019
Iran,611700000,240,49000000,2019
Algeria,199800000,50,19700000,2019
Indonesia,187700000,416,29400000,2019
Chad,125900000,4728,1000000,2019
Sri Lanka,83900000,337,7100000,2019
Myanmar,75200000,4632,100000,2019
DRC,61200000,456,7000000,2019
Ethiopia,56800000,346,19500000,2019
Zimbabwe,34500000,144,4500000,2019
Syria,16200000,59,8400000,2019
Mauritania,13800000,264,900000,2019
Pakistan - Azad Kashmir,5600000,88,,2019
Egypt,3800000,24,43900000,2019
Kazakhstan,2600000,7.5,13900000,2019
Benin,1100000,21,1600000,2019
Gabon,1100000,29,1000000,2019
Eritrea,400000,240,100000,2019
Liberia,100000,12,377000,2019
