country,cost_usd,duration_hours,users_affected,year
Russia,21590000000,7032,113000000,2022
Myanmar,1090000000,17520,16695800,2022
Iran,711800000,4441,71940000,2022
Kazakhstan,410300000,144,16106250,2022
Uzbekistan,219700000,5630,1279872,2022
India,184300000,1461,120743890,2022
Ethiopia,179900000,8760,1767500,2022
Nigeria,82700000,287,104400000,2022
Cuba,30900000,14,7006000,2022
Turkmenistan,29000000,40,2010000,2022
Turkey,19200000,10,69950000,2022
Sudan,17800000,74,13228290,2022
Burkina Faso,12600000,380,3950100,2022
Syria,12600000,45,8410000,2022
Algeria,8000000,24,25213750,2022
Sri Lanka,3400000,16,7417200,2022
Afghanistan,2500000,48,4717483,2022
Haiti,2300000,21,4810000,2022
Tajikistan,2100000,936,78193,2022
Zimbabwe,1600000,12,5010000,2022
Pakistan,900000,4,26200000,2022
Sierra Leone,300000,9,2670000,2022
Somaliland,100000,10,1264714,2022
