country,cost_usd,duration_hours,users_affected,year
Russia,11900000000,37166,146000000,2025
Venezuela,1910000000,5952,17900000,2025
Myanmar,1890000000,9888,23600000,2025
Pakistan,1130000000,11482,110000000,2025
Tanzania,889800000,6966,20600000,2025
Iraq,595700000,7685,39600000,2025
Vietnam,282100000,1560,85600000,2025
Iran,214700000,170,71900000,2025
India,179800000,3671,52500000,2025
Turkey,129700000,54,77500000,2025
Panama,101400000,3192,200000,2025
Afghanistan,94200000,2483,11300000,2025
Albania,69600000,7056,2500000,2025
Congo DRC,67200000,1008,34700000,2025
Sudan,66600000,2148,14900000,2025
Nepal,47300000,1704,16600000,2025
Cameroon,40500000,52,12600000,2025
Togo,23200000,2208,3500000,2025
Belarus,17000000,48,8500000,2025
Kyrgyzstan,13100000,2544,5200000,2025
Guinea-Bissau,10100000,854,700000,2025
South Sudan,8800000,2160,1600000,2025
Syria,7400000,1105,9200000,2025
Kenya,3400000,24,23400000,2025
Guinea,2000000,96,4000000,2025
Libya,1300000,11,1300000,2025
Equatorial Guinea,1100000,8760,30000,2025
Papua New Guinea,800000,48,2600000,2025
