country,cost_usd,duration_hours,users_affected,year
Russia,4020000000,1353,113000000,2023
Ethiopia,1590000000,6006,29800000,2023
Myanmar,974000000,18768,23700000,2023
Iran,920300000,6822,33700000,2023
India,585400000,5799,59100000,2023
Iraq,328500000,461,20600000,2023
Pakistan,237600000,163,82900000,2023
Algeria,101900000,50,32100000,2023
Senegal,57500000,3907,8010000,2023
Azerbaijan,52300000,3495,8600000,2023
Guinea,47400000,984,4900000,2023
Brazil,46200000,48,174200000,2023
Mauritania,38500000,314,1700000,2023
Yemen,37200000,2376,8800000,2023
Venezuela,33600000,2,17400000,2023
Kenya,27000000,192,15600000,2023
Sudan,12400000,202,4800000,2023
Syria,9600000,34,8100000,2023
Turkey,5800000,12,70000000,2023
Gabon,5400000,87,1500000,2023
Tanzania,2800000,7680,14000000,2023
Cuba,1700000,2,8000000,2023
Chad,800000,14,1800000,2023
Zimbabwe,500000,24,4400000,2023
Suriname,100000,12,400000,2023
